state,startup,website,foundedDate,description,personaEnd,jobEnd,persona,job,personaAbstract,jobAbstract,taskDetail,jobHow,market,marketDetail,interest,nextStep,status,industries,revenueEstimated,location,investors,operatingStatus,leadInvestors,totalFunding,exitDate,contactEmail,contactPhone,crunchbaseURL,IPOstatus,contactsInCrunchbase,acquisitionStatus,type,fundingDate,employeeSize
AZ,After.com,https://after.com/,1/1/2020,After.com provides simple & affordable cremation services.,,,families and organizers of funerals,all things for burial/cremation planning,household,plan,plan funeral,online simplified portal,high,"higher - I'm curious. Could they own this space early like Carvana or something similar? More people less religios so cremation may be on the rise. Simplies an already very difficult and complex process? However, might be the kind of place where people want a personal touch?",7,Call for KPIs,,"Funerals, Service Industry",,"Mesa, Arizona, United States","Sweater, TEN13",Active,1,1000000,,support@after.com,602-428-9760,https://www.crunchbase.com/organization/after-com,Private,2,,For Profit,6/13/2022,10
AZ,Nu Planet Pharmaceutical Radioisotopes,http://nuplanet.tech,8/11/2021,"Pharmaceutical, Isotopes, Production, Nuclear, Radioisotopes",,,pharma procurement,rare isotope - make vs. buy,pharma companies,procurement,procure rare isotopes used in mfg pharmacueticals,by specializing and mass producing isotopes that are under supplied,medium,"medium - what is the market for this? Hard to enter, however margin probably low. Also what is the shelf life for isotopes? How will they do supply chain manageemnt",6,Want to learn more about the business model and market. Make buy decision for their market? What is the shelf life for isotopes? How will they plan and stock inventory. ,,"Advanced Materials, Biopharma, Biotechnology, Laser, Life Science, Nuclear, Pharmaceutical",,"Scottsdale, Arizona, United States",,Active,,1200000,,dereck.armstrong@nuplanet.tech,3476043528,https://www.crunchbase.com/organization/nu-planet-pharmaceutical-radioisotopes,Private,,,For Profit,1/1/2022,10
AZ,Lightning Law,https://www.lightning.law/,1/1/2020,"Lightning Law provides integrated video and documents for attorneys, mediators and stenographers to conduct legal proceedings online.",,,attorneys,practice management,attorneys,operations,attorney practice operations management,integrated platform to digitizie a lot of their everyday activities,medium,medium - sounds like the idea David Darling's partner wanted to develop,6,due diligence,,"Information Services, Legal, Legal Tech",,"Phoenix, Arizona, United States",,Active,,450000,,alisa@lightning.law,,https://www.crunchbase.com/organization/lightning-law,Private,1,,For Profit,8/12/2020,10
AZ,Millennial Shift Technologies,https://www.mshifttech.com/,1/1/2020,Millennial Shift Technologies is an insurance technology company.,insurance agents,,insurance agents,"customizing, quoting, and issuing insurance quotes",insurance agents,operations,"insurance quote customization, issue, and binding","technology for the insurance future. SaaS platform. Quote, bind and issue within minutes",high,"high - big market, seems like they have traction.",6,What is the exit strategy for investors? Who would buy them? ,,"FinTech, Information Technology, InsurTech",,"Phoenix, Arizona, United States",,Active,,,,customerservice@mshifttech.com,602-610-9810,https://www.crunchbase.com/organization/millennial-shift-technologies,Private,,,For Profit,,10
AZ,"nVector, Inc.",http://www.nvector.com,1/1/2022,"nVector is a privately held biomarker, diagnostic, and AAV gene therapy company.",patients,get treatment,doctors,treat patients,doctors,treat patients,treat diseases of the Central Nervous System,gene therapy yet to be invented,high,"high - big market, pharma money - but long time to money and high risk",6,due dilligence. Where are they now? Is this something Matt would invest in? ,,"Biotechnology, Genetics, Health Care, Medical",Less than $1M,"Phoenix, Arizona, United States",,Active,,,,info@nvector.com,+1 602 622 1490,https://www.crunchbase.com/organization/iron-horse-diagnostics,Private,,,For Profit,,10
AZ,SaiOx,https://saiox.com,4/1/2020,SaiOx is a developer of a non-invasive ventilator system designed to help treat patients with respiratory conditions.,patents,breathing,doctors,treat patients,doctors,treat patients,treat patients who are having a hard time breathing,combines helium with oxygen to make it easier to absorb (smaller molecules),medium,"medium to high - seem to have the right backing, ",6,due diligence - will insurance companies cover it? How much is the price vs. NBA? ,,"Health Care, Medical, Medical Device",,"Tucson, Arizona, United States",,Active,,205000,,info@saiox.com,505-410-8433,https://www.crunchbase.com/organization/saiox,Private,2,,For Profit,9/14/2020,10
AZ,Vizulingo Language Learning,https://vizulingo.com/,1/10/2020,"Vizulingo is a learning platform that upskills English learners with Virtual Reality, Artificial Intelligence, and gamification.",ESL students,learn English,English Language Centers,"Deliver content using technology, retain customers",students,"learning, certification",learn how to speak English,VR learning more effective than regular digital classes,high,"High - I could see this being a better place to enter the VR education market. Niche customer, willing to pay",6,"Due diligence, see demo, KPIs",,"Artificial Intelligence, EdTech, Language Learning, Machine Learning, Natural Language Processing, Software",,"Tempe, Arizona, United States",,Active,,,,mmurphy@vizulingo.com,717-669-1079,https://www.crunchbase.com/organization/vizulingo-language-learning,Private,,,For Profit,,10
AZ,Nurture Boss,https://nurtureboss.io/,1/1/2020,Nurture Boss operationalizes CRMs with data-powered automation & helps apartments orchestrate marketing efforts into a cohesive strategy.,real estate renters,find or renew a rental,"rental propoerty owners, managers, or sales and marketing leaders",increase rental renewals or new renters,property owners,"customer retention, new sales",increase rental renewals and new renters,technology that manages by simplying marketing campaigns and analytics for rentla renewals,moderate,moderate - don't know if it's needed. Do people struggle to renew rental contracts? Renewing the best renters and identifying and not renewing the worst ones would be good?,5,worth seeing a demo - maybe something Bart would care about,,"Advertising, Leasing, Marketing, Property Management",,"Scottsdale, Arizona, United States","Kapital Partners, PHX Ventures",Active,1,3951000,,support@nurtureboss.io,,https://www.crunchbase.com/organization/nurture-boss,Private,7,,For Profit,6/6/2022,50
AZ,Medplace,https://www.medplace.com/,7/1/2020,"Medplace is the first marketplace for medical expertise, connecting top physicians to companies that need non-clinical consultations.",,,doctors,get expert help on cases,doctors,"diagnose patients, treat patients",get expert help on cases,online platform that connects doctors to experts in their fields,moderate,moderate - does this catch on? ,5,Call for KPIs,,"Health Care, InsurTech, Marketplace, Medical",,"Phoenix, Arizona, United States",,Active,,500000,,hello@medplace.com,,https://www.crunchbase.com/organization/hoot-medical,Private,6,,For Profit,9/6/2021,50
AZ,Jackson Medical Solutions,https://jacksonmed.org/,1/6/2020,Patient Centric Medical Devices,surgery patients,ulcer prevention,CEO,personal dream,doctors,treat patients,prevent ulcers,start a medical device company,moderate,"moderate - might be worth finding out if this is a real issue, the company is going to need a lot of help froma company that knows what to do. ",5,Might be worth finding out if ulcers area big issue and if their solution is viable. Also where they are in terms of need. ,,"Assisted Living, Elder Care, Health Care, Health Diagnostics, Home Health Care, Medical, Medical Device, Nursing and Residential Care, Rehabilitation",,"Laveen, Arizona, United States",EMERGEAZ Fast Grant,Active,,25000,,ian@jacksonmed.org,520-595-8145,https://www.crunchbase.com/organization/jackson-medical-solutions,Private,,,For Profit,4/15/2022,10
AZ,B Team Construction,http://bteamconstruction.com,1/1/2020,Construction Technology Company,,,people who need buildings built,building buildings,property owners,construction,construct buildings,technology enabled building? Seems to be same as other construction companies,medium,medium - might be worth passing along to Bart. My guess is it's nothing special,5,Only to share with Bart,,Construction,,"Tempe, Arizona, United States",Private Investor,Active,,1000000,,fbejarano@bteamconstruction.com,6027080815,https://www.crunchbase.com/organization/b-team-construction,Private,3,,For Profit,5/9/2020,50
AZ,dotScribe,https://www.dotscribe.com,1/1/2020,dotScribe is a medical productivity SaaS that suggests information and diagnostic tools to medical practitioners while they chart.,"doctors, nurses,etc..",making taking notes faster when entering data in HER,practice managers,"speed up and simplify EHR data entry, improve quality of data transcription",doctors,operations,speed operations by making EHR data entry technology enabled,"advanced autocmplete and medical library, integration with HER",medium,medium - might be really fragmented and hard to penetrate for scale,5,"due dliligence aobut KPIs, proof of value",,"Health Care, Information Services, Medical, Software",,"Scottsdale, Arizona, United States",,Active,,210000,,support@dotscribe.com,480-424-5602,https://www.crunchbase.com/organization/dotscribe,Private,,,For Profit,1/1/2022,10
AZ,OCX Cognition,https://ocxcognition.com/,1/1/2020,OCX Cognition is a SaaS-based solution that implements AI computing and data science to predict customer-focused financial results.,,,Business Owners,Predict how customer operations are impacting customer experience,businesses,customer retention,predict customer retetention based on operations analytics,Predictive analytics,medium,medium - maybe worth seeing a demo,5,demo and due diligence including KPIs. Is this something NWH would use to improve their CX? Would Dave Brower buy this? ,,"Artificial Intelligence, B2B, Predictive Analytics, Software",Less than $1M,"Scottsdale, Arizona, United States",MaC Venture Capital,Active,1,,,success@ocxcognition.com,+1 650 966 6192,https://www.crunchbase.com/organization/ocx-cognition,Private,6,,For Profit,7/16/2021,50
AZ,Sunbound,https://sunboundhomes.com/,1/1/2021,Onestop relocation platform for older adults,,,Retiring couples who want to move to AZ or Florida,move me to 55+ community,seniors,relocation,Help seniors relocated to sunny regions,online one-stop tool,moderate,"moderate - I'm curious, they are solving a baby boomer problem with a millenial solution. Curious if it's working. My neighbor wanted to work with his realtor, not diy online",5,test hypothesis that it's not taking off - their target market doesn't want that kind of solution. ,,"Elder Care, Information Technology, Real Estate",,"Phoenix, Arizona, United States",,Active,,,,info@sunboundhomes.com,,https://www.crunchbase.com/organization/sunbound,Private,,,For Profit,,10
AZ,"Xmetryx, Inc.",https://www.xmetryx.com,1/1/2020,Team Experience Management Software,,,HR departments,check leaders leadership ability based on employee engagement and satisfaction on teams,executives,"diagnose, operations",analyze management leadership effectiveness,experience management software,low,"Low - online presence looks viable, worth learning more. I don't like the concept, but I think it has potential to be succesful. Not sure about exit path though",5,"See demo, get info on KPIs and funding situation, due diligence with someone like Cory Wiltbank? I wouldn't want this, but I could see someone controlling at companies like Honeywell wanting it. Wonder about exit strategy.",,"B2B, SaaS, Software",,"Scottsdale, Arizona, United States","Techstars, Techstars Anywhere Accelerator",Active,1,,,hello@xmetryx.com,,https://www.crunchbase.com/organization/xmetryx-llc,Private,3,,For Profit,1/27/2020,10
AZ,Emerald Pools and Spas,https://www.emeraldpoolandspa.com,1/1/2020,Emerald Pools and Spas is a construction based firm that specializes in designing custom pools & spas.,,,homeowners,pool design and construction,home owner,construction,pool design and construction,same old,medium,"medium - if there is a shortage in this space, could it be a good buy?",5,due diligence,,"Construction, Facilities Support Services",$1M to $10M,"Phoenix, Arizona, United States",,Active,,,,,+1 602 795 4466,https://www.crunchbase.com/organization/emerald-pools-and-spas,Private,,,For Profit,,50
AZ,Prelien Pro Technologies Inc.,https://www.prelienpro.com,1/26/2021,SaaS company which provides workflow and document management tools that simplify and anchor ones legal rights for prompt payment,,,construction professionals,work flow streamlining,construction,operations,work flow stream lining,online platform,medium,medium - check with Bart,5,Call and schedule a demo with them,Check website and then check with bart - 11/16 checked website and it saw signs of traction. ,"Construction, Legal Tech, Risk Management, SaaS, Software",,"Mesa, Arizona, United States",,Active,,,,scott.sullivan@prelienpro.com,413-324-8068,https://www.crunchbase.com/organization/prelien-pro,Private,,,For Profit,,10
AZ,ZoJacks,https://www.zojacks.com,1/1/2020,ZoJacks is an IoT company that provides flood prevention systems.,,,property owners,prevent floods,property owners,risk prevention,prevent floods,IoT Solution,medium,"Medium - growing market, need exists, early stages of market - where do they sit? How good is their solution? ",7,Give this one some more strategic thought. What would it take to win. Contact Derrick and hear what he has to say. ,"Checked website 11/16 - too funny , Derrick Calderon is working there ;) They have product and signs of traction. ","Information Technology, Internet of Things",,"Phoenix, Arizona, United States",,Active,,,,info@zojacks.com,,https://www.crunchbase.com/organization/zojacks,Private,,,For Profit,,10
AZ,Story Tyke,https://storytyke.com,10/1/2020,The first mobile app to personalize the storytime process from end-to-end.,,,parents,picking stories for your kids,parents,"learning, parenting",pick and share stories with your kids,curated stories in platform,medium,"medium - fragmented not 10x scalable market. Easy to copy, Audible and others better positioned",7,download app and see if I like it. Is it sustainable? How will they monetize? Exit strategy? ,11/16 - checked the website. Legit and they have some traction. What is their monetization model? ,"Apps, Consumer Applications, Family, Media and Entertainment, Mobile, Software",,"Phoenix, Arizona, United States",,Active,,,,team@storytyke.com,,https://www.crunchbase.com/organization/story-tyke,Private,,,For Profit,,10
AZ,Nourish Kitchen,https://www.nourishkitchenfoods.com,1/1/2020,Nourish Kitchen makes handmade salads and green salads.,,,hungry healthy people,healthy foods,hungry people,food services,find and eat healthy food,restaurant,low,low - restaurant,6,Share with others to see what they think - maybe Kodiak guy,"11/16 - checked website. They have traction. Not sure I'm the right person to judge growth potential for food, but they seem to be doing well for themselves","Food and Beverage, Restaurants, Snack Food",$1M to $10M,"Tempe, Arizona, United States",,Active,,,,info@nourishkitchenfoods.com,+1 480 912 5143,https://www.crunchbase.com/organization/nourish-kitchen,Private,,,For Profit,,50
AZ,Hestia Software,https://hestiasoftware.com/,1/1/2020,Hestia Software is an IT company that provides software solution and HOA management services for modern day needs.,,,HOA owners,online portal for HOA,,,,software,low,low - competitive highly fragmented market,5,check KPIs,"11/16 - mobile first solution, signs of traction (released version 4.0 9/2022). ","IT Management, Professional Services, Software",,"Scottsdale, Arizona, United States",,Active,,,,info@hestiasoftware.com,+1 602 609 7482,https://www.crunchbase.com/organization/hestia-software,Private,,,For Profit,,10
AZ,KickPost,https://kickpost.io,1/1/2020,"KickPost is a platform where all your partner's key contacts, pricing, and promotions are funneled into one place.",,,sales team,find and use channel partner sales info ,,,,online platform,low,low - suspect another mom and pop solution in fragmented market,5,call for KPIs,"11/16 - checked website. Signs of life, but not sure it's real - could all be free accounts","Brand Marketing, Social Network, Software",,"Scottsdale, Arizona, United States",,Active,,,,,,https://www.crunchbase.com/organization/kickpost,Private,2,,For Profit,,10
AZ,Willow Processing,https://www.willowprocessing.com,1/1/2020,Willow Processing is a mortgage brokerage company.,,,,,,,,,low,"low - saturated market. Claim technology enabled, is it genuinely better? ",5,check growth KPIs,11/16 - signs of traction.,"Financial Services, Funding Platform, Lending, Online Portals",,"Phoenix, Arizona, United States",,Active,,,,team@willowprocessing.com,+1 800 988 4210,https://www.crunchbase.com/organization/willow-processing,Private,,,For Profit,,10
AZ,GraphicsFlow,https://www.graphicsflow.com,1/1/2020,GraphicsFlow is a cloud-based platform offering tools for graphics workflow solutions.,,,graphics content creators,manage graphics workflow,,,,software,low,"low - small, fragmented",5,Call to see if they are making any traction. KPIs,"11/16 - appearance of traction, but not sure. Call","Cloud Infrastructure, Information Technology, Software",,"Tempe, Arizona, United States",,Active,,,,hello@graphicsflow.com,+1 800 959 7627,https://www.crunchbase.com/organization/graphicsflow,Private,,,For Profit,,50
AZ,Spark,https://www.sparkmentalhealth.com,1/1/2020,Spark is a mental health center providing psychiatric services.,,,,,,,,,moderate,moderate - digitally scaling an undersuplied market (Pschyciatry),5,check website to see if worth doing KPI due diligence,11/16 - checked website and it looks like they have traction and can take some insurance,"Health Care, Medical, Wellness",,"Scottsdale, Arizona, United States",,Active,,,,,(602)-962-6515,https://www.crunchbase.com/organization/spark-169c,Private,,,For Profit,,10
AZ,InfuseAble Care,https://www.infuseablecare.com/,1/1/2020,InfuseAble Care offers private infusion suites for all infusion patients.,,,"patients, customers",infusion therapy,,,,patient experience,low,"low - not scalable, lifestyle company",5,Call for KPIs - growth? Franchise? Market size? ,11/16 - signs of traction. Growth possibility since I don't think this is a saturated market,Health Care,,"Scottsdale, Arizona, United States",,Active,,,44565,,480-927-3800,https://www.crunchbase.com/organization/infuseable-care,Private,,Was Acquired,For Profit,,10
AZ,Winstreak,https://winstreak.io,1/1/2020,Winstreak is a audience intelligence software.,,,,,,,,,low,low - sounds like marketing agency stuff,5,Call as a final check,"11/16 - checked website. Says early access is going on, but it's a 2 year old company. Looks like analytics for content creators on social media. ","Artificial Intelligence, Internet, Software",,"Scottsdale, Arizona, United States",,Active,,,,support@winstreak.io,,https://www.crunchbase.com/organization/winstreak,Private,1,,For Profit,,10
AZ,Axel Automotive,https://www.axelautomotive.com,1/1/2020,Axel Automotive is a company of seasoned experts specializing in the creation of software solutions for the automotive retail industry.,,,,,,,,,low,low - but check website. Have they built antyhing? ,5,what is the growth and exit strategy? How are they marketing? Who is going to buy them? ,11/16 signs of traction,"Automotive, CRM, Developer Platform",,"Scottsdale, Arizona, United States",,Active,,,,info@axelautomotive.com.,,https://www.crunchbase.com/organization/axel-automotive,Private,,,For Profit,,50
AZ,Wellkasa.com,https://www.wellkasa.com/,3/1/2021,Wellkasa is a SaaS/ecommerce MedTech company delivering premium supplements and a proprietary digital medicine cabinet platform.,,,People who take vitamins to feel better,choosing which vitamins and buying them,sick people,get treatment,get custom vitamin recommendations,Doctors choose for you,moderate,"moderate - not sure about scalability with the doctors they have. Are they really giving custom plans? They do have an app that might be interesting for technology enablement. Not going to be medicine field or regulated. Kind of looks like an online attempt to digitally scale some MD's wellness practice, not sure it's actually scalable. I might want to pay for it though, so ???",4,How sticky is it? Once I know what works - why continue to subscribe? ,,"Beauty, Dietary Supplements, E-Commerce",Less than $1M,"Scottsdale, Arizona, United States",,Active,,,,connect@wellkasa.com,623-396-5232,https://www.crunchbase.com/organization/wellsasa-com,Private,,,For Profit,,10
AZ,Reference Medicine,https://www.referencemedicine.com,1/1/2021,Your trusted team for biospecimens,,,,,,,,,low,"doesn't look scalable, and looks low margin. Not special",4,,,"Biotechnology, Consulting, Health Care",,"Phoenix, Arizona, United States",,Active,,,,hello@referencemedicine.com,,https://www.crunchbase.com/organization/reference-medicine,Private,4,,For Profit,,50
AZ,Delivery Chain,https://deliverychain.io,1/1/2020,Delivery Chain provides solutions to Shippers & Logistics Service Providers for Supply Chain Intelligence insights to increase clarity.,,,,,,,,,medium,"medium - if they have a good solution, job to be done is in need",4,"call them for a demo, growth KPIs","11/16 - checked out website, maybe it's worth calling them",Software,$1M to $10M,"Scottsdale, Arizona, United States",,Active,,,,info@deliverychain.io,+1 844-552-4642,https://www.crunchbase.com/organization/delivery-chain,Private,2,,For Profit,,10
AZ,Neighbor,https://www.hineighbor.com,1/1/2020,Neighbor is a company that provides furniture for those who seek refuge in company and comfort.,,,,,,,,,moderate,"moderate - I'm not a retail person and don't feel comfortable proposing it.  I don'best market. However, cool company for outdoor furniture. Could see them ending up in target or similar",3,Out of curiousity could call to see if they are growing and will expand to outlets like Target,,"Furniture, Outdoors",,"Phoenix, Arizona, United States",Strand Equity Partners,Active,1,,,support@hineighbor.com,,https://www.crunchbase.com/organization/neighbor-9c62,Private,5,,For Profit,3/22/2022,10
AZ,equipifi,http://www.equipifi.com/,1/1/2021,equipifi is a fintech SaaS powering banks and credit unions with BNPL solutions that align with their cardholders’ financial goals.,Bank customers,buy now pay later. Finance even small purchases,"bank VP marketing, executive",grow bank revenues,banks,grow,grow bank revenues with buy now pay later offerings,Enable buy now pay later services on bank mobile apps,moderate,moderate - Buy now pay later I'm guessing is not fully saturated solution for banks,3,Key KPIs,,"Finance, Financial Services, FinTech, Mobile Payments, SaaS, Software",,"Scottsdale, Arizona, United States","FIS Impact Ventures, SaaS Ventures, New Stack Ventures, Curql, Revolution’s Rise of the Rest Seed Fund",Active,4,15000000,,info@equipifi.com,,https://www.crunchbase.com/organization/equipifi,Private,6,,For Profit,8/10/2022,50
AZ,Sports News Corp,https://www.basketballnews.com/,8/1/2020,Sports website and mobile app,,,basketball enthusiasts,"get high-touch news, very specialized",sports fans,learning,get latest basketball news,specialized and deep reporting focused on basketball to detail level,medium,medium - online news page that will make money throug ads or subscriptions. Just not intersted in the space,3,"Call for business model, KPIs, how other sites are coming",,"Basketball, Content, Journalism, News, Podcast, Sports, Video Streaming",,"Scottsdale, Arizona, United States",,Active,,1400000,,charley@basketballnews.com,480-861-9171,https://www.crunchbase.com/organization/sports-news-corp,Private,9,,For Profit,4/14/2021,50
AZ,EduFi,https://join.edufi.co/,4/20/2020,EduFi is a specialized debit card and purpose-built app offering 529 owners and beneficiaries simple and convenient access to their money.,,,students with 529 accounts,access fund simply,students,finance,access 529 accounts via debit card,debit card that goes directly to 529 account,low,low - can they be copied? How big of a problem is it? ,3,,,"Banking, Debit Cards, Financial Services, FinTech",,"Scottsdale, Arizona, United States",,Active,,,,,,https://www.crunchbase.com/organization/edufi,Private,,,For Profit,,10
AZ,Ahsuite,https://ahsuite.com,6/1/2021,"An all-in-one agency management solution designed for small agencies, solopreneurs, and the gig economy.",,,,,,,,,low,"low - tool for marketing agencies, and probably not worth the investment for people who are scraping by and do things all different ways",3,,"11/16 - checked website. Design packaging and marketing look better than others, but it's a tool that doesn't catch me as being useful or worth the expense. ",,,"Glendale, Arizona, United States",,Active,,,,admin@ahsuite.com,,https://www.crunchbase.com/organization/ahsuite,Private,2,,For Profit,,10
