state,startup,website,foundedDate,description,Full Description,personaEnd,jobEnd,persona,job,personaAbstract,jobAbstract,taskDetail,jobHow,market,feasiblility,execution,marketDetail,interest,nextStep,status,industries,jobCategories,revenueEstimated,location,investors,operatingStatus,totalFunding,rounds,fundingStatus,fundingLastDate,fundingLastAmount
UT,Ember,https://www.emberhome.com/,1/1/2021,Ember is a shared vacation home company.,"Ember is a real estate proptech company that is reimagining the vacation home experience through technology, white-glove service, and co-ownership. Ember is enabling the dream of second homeownership for millions. Ember's tech-forward approach transforms traditional ownership by enabling co-owners to purchase luxurious properties, unlocking an opportunity that most people previously thought was out of reach. Ember streamlines every step of the vacation home ownership process from purchase to planning each stay with the proprietary Ember app and enhances the experience with a personal, in-market Ember Concierge who manages everything from services to maintenance of the home.",vacation home owners,technology enabled vacation home ownership,household,vacation property ownership and use,,,,,"medium high - I like the idea of bringing shared ownership to more people and they way they take care of what might be typical pain points (repairs, maintenance, management). There are some temproary economic downturns that could be an issue in the short run, but in the long run I think millenials and people in general are wanting more rich lifestyle perks like this one",,,,7,Bart and Bryson,,,,,"Lehi, Utah, United States","Peter Thiel, PANDO. Ventures, Todd Pedersen, Ryan Woodley, Curt Doman",Active,17400000,1,,2/24/2022,17400000
UT,Resale.com,https://resale.com/,1/1/2021,"Omnichannel Technology, Marketplaces, Recommerce",,households,buy discounted goods,business,sell unsold inventory ,business,market and sell unsold inventory,"If it's what I think it is, they are downeast homing all the tons of returned goods that come back to Amazon? ","If it's what I think it is, they are downeast homing all the tons of returned goods that come back to Amazon? ","high - ecommerce and more and more is getting sold online. Not trying to be a me-too, but trying to be an enabling service to that growing market","yes - feasible, depends on if they are buying for pennies on the dollar. How do companies ensure returned items don't drag down new item pricing? ",,,7,due diligence,,"Commerce and Shopping, Software","E-Commerce, Retail, SaaS, Shopping, Software",$10M to $50M,"Salt Lake City, Utah, United States",,Active,9724995,1,Seed,4/29/2022,9724995
UT,Levo Financial,https://levotreasury.io,1/1/2021,Levo is a treasury management account for startups.,,,,business,better cash management - store idle funding in a treasury instead of checking account,business,finance,give startups and business a place to store their cash that yields interest more like a large corporation,Large corporations don�t just leave their money sitting in a checking account. They put their money to work by investing in short duration Treasury Bills and other super low-risk investments. We make it easy for you to do it too.,medium-high,I think this is highly feasible,,,7,I like this one - maybe show to Todd Calister?,,Financial Services,"Finance, Financial Services, FinTech",Less than $1M,"Salt Lake City, Utah, United States",Y Combinator,Active,1300000,2,Seed,6/23/2022,500000
UT,Wander,https://www.wandermaps.com,1/1/2021,"Wander is a one-app, no-code interactive mapping alternative for paper maps that works both online and offline, indoors and outdoors.",,travelers,offline interactive beautiful maps,destination owners,offline interacive mobile interactive apps,travelers,planning,"destination owners work with wander maps to create beautiful interactive offline maps, then travellers access via qr code",software,"high - I think this could be cool and take off. Think of yellowstone - we used paper maps. They were helpful, but I think this might be a genuinely better solution. ",high,,,7,,,"Consumer Electronics, Hardware, Navigation and Mapping, Software","Computer, Mapping Services, Software",$1M to $10M,"Orem, Utah, United States",RevRoad,Active,2597989,2,,6/1/2022,2597989
UT,Syncware,https://syncware.com,1/1/2022,"No-code, order & inventory automation software for multi-channel consumer product brands",,,,businesses,SIOP,businesses,SIOP,,"software that is no-code and automatically connects to many different platforms to magically manage orders, inventory, fulfillment","low - crowded and fragmented market. Need is there, but also question scalability of solution",questionable - does it work? How plug and play is it? How broadly flexible is it? Would it work for NWH? ,,,6,,,"Commerce and Shopping, Hardware, Information Technology, Internet Services, Software, Transportation","E-Commerce Platforms, Enterprise Resource Planning (ERP), Information Technology, Retail Technology, Supply Chain Management",,"Park City, Utah, United States",Trajectory Capital,Active,2900000,1,Seed,4/4/2022,2900000
UT,Oops,https://oops.io,1/1/2022,Oops is a venture-backed startup that offers easy returns right from your doorstep.,"Oops is a venture-backed startup that offers easy returns right from your doorstep. The company helps individuals in packing, taping, labeling, driving, and making returns. Oops was founded in 2022 and is based in Salt Lake City, Utah.",,,household,make returns ,household,return goods,return items that can be shipped back to seller,people come to the home and package and ship returns,medium - demand might be there at the right price,"seems costly, but maybe it pencils for people who have money and don't want to hassle with it. ",,,5,,,"Administrative Services, Content and Publishing, Media and Entertainment, Transportation","Delivery, Delivery Service, Packaging Services, Publishing",,"Salt Lake City, Utah, United States","Village Global, Maverick Ventures, EPIC Ventures, Peterson Ventures, Pelion Venture Partners",Active,5000000,2,Seed,11/14/2022,5000000
UT,Iris Technologies,http://iris.construction,2/17/2021,Iris is a collaboration platform for project managers in commercial construction,Iris Technologies is building the communication hub for project engineers & project managers in commercial construction.,,,commercial constrcution project managers and teams,communication & project management,builders,construction,,,"medium - fragmented market, but since it's commercial less fragmented than general construction. How big is this pain point though, and it's got to be crowded market",seems like it relies on people changing their behavior too much - people have to enter in the information for it to be valuable? ,,,5,ask Bart?,,,,,"Salt Lake City, Utah, United States","ANIMO Ventures, Long Journey Ventures, Resolute Ventures, Grix Venture Capital",Active,3200000,1,Seed,7/20/2022,3200000
UT,Qualiti,https://qualiti.ai/,1/1/2021,"Qualiti is an AI-managed test automation solution that creates, maintains, executes, and triages tests.","Qualiti is an AI-managed test automation solution that creates, maintains, executes, and triages tests. It enables users to focus on creative tasks in QA and the end-user experience.",software developers,outsource test automation to computer,businesses,software test automation,business,software development,AI manages the test automation for software developers,AI,medium - ,not sure - does it actually work well enough to replace humans? Disruptive innovation possible? Are there already similar siutaitons on the market,,,5,maybe worth some due diligence by an actual developer,,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence, Information Technology, Software",,"Salt Lake City, Utah, United States",,Active,5630886,2,,8/16/2022,599999
UT,Biolexis Therapeutics,https://biolexistx.com/,1/1/2021,Biolexis Therapeutics is a cutting-edge FIELDS technology to design potent and selective small molecule therapeutics.,"Biolexis Therapeutics is a cutting-edge FIELDS technology to design potent and selective small molecule therapeutics. The company was founded in 2021 by Dr. Hari Vankayalapati and  Dr. David J. Bearss and is headquartered in Sandy, Utah, United States.",patients,new drugs,pharma,drug discovery,medical,drug discovery,AI/ML platform to do drug discovery,,"medium - guessing.  crowded space, probably a me-too solution, but in an area where I think customers (pharma companies) have a willingness to pay",not my AOE,,,5,,,Health Care,"Health Care, Pharmaceutical, Therapeutics",,"Sandy, Utah, United States",,Active,1500000,1,,9/2/2022,1500000
UT,DeepPower,https://deeppower.com/,1/1/2022,DeepPower is developing a breakthrough geothermal drilling technology to access the Earth’s unlimited source of clean energy.,DeepPower is developing a breakthrough geothermal drilling technology to access the Earth’s unlimited source of clean energy.,households,energy and utilities,energy companies,find new sources of energy - gethtermal,energy companies,power & utilities,creating special coatings to improve outcomes in geothermal energy harvesting,special coatings to resist corrosion,high - but I feel like this is very risky. It's a hail mary? Not my AOE,super risky,,,5,watch. It's a long play and not in my AOE,,"Energy, Sustainability",Clean Energy,,"Lehi, Utah, United States",,Active,2000000,1,Early Stage Venture,10/5/2022,2000000
